iter	Passed	Remaining
772	12520	3676
773	12536	3660
774	12554	3644
775	12572	3629
776	12590	3613
777	12609	3597
778	12625	3581
779	12646	3566
780	12664	3551
781	12681	3535
782	12699	3519
783	12718	3504
784	12736	3488
785	12753	3472
786	12772	3456
787	12791	3441
788	12809	3425
789	12824	3409
790	12842	3393
791	12858	3377
792	12876	3361
793	12895	3345
794	12917	3330
795	12934	3314
796	12949	3298
797	12966	3282
798	12984	3266
799	13003	3250
800	13023	3235
801	13042	3219
802	13061	3204
803	13084	3189
804	13102	3173
805	13124	3159
806	13142	3143
807	13158	3126
808	13177	3111
809	13199	3096
810	13216	3080
811	13231	3063
812	13247	3047
813	13263	3030
814	13281	3014
815	13299	2998
816	13320	2983
817	13346	2969
818	13376	2956
819	13398	2941
820	13422	2926
821	13446	2911
822	13474	2897
823	13494	2882
824	13517	2867
825	13535	2851
826	13550	2834
827	13566	2818
828	13591	2803
829	13611	2787
830	13630	2771
831	13650	2756
832	13670	2740
833	13688	2724
834	13708	2708
835	13729	2693
836	13747	2677
837	13764	2660
838	13785	2645
839	13803	2629
840	13825	2613
841	13845	2598
842	13864	2582
843	13882	2565
844	13899	2549
845	13914	2532
846	13929	2516
847	13945	2499
848	13962	2483
849	13983	2467
850	13998	2451
851	14014	2434
852	14034	2418
853	14057	2403
854	14074	2386
855	14099	2371
856	14117	2355
857	14136	2339
858	14154	2323
859	14175	2307
860	14192	2291
861	14525	2325
862	14576	2313
863	14608	2299
864	14629	2283
865	14684	2272
866	14712	2257
867	14732	2240
868	14746	2223
869	14766	2206
870	14789	2190
871	14808	2173
872	14828	2157
873	14844	2140
874	14863	2123
875	14881	2106
876	14898	2089
877	14916	2072
878	14935	2055
879	14949	2038
880	14963	2021
881	14982	2004
882	14998	1987
883	15014	1970
884	15030	1953
885	15046	1936
886	15059	1918
887	15072	1900
888	15084	1883
889	15097	1866
890	15111	1848
891	15124	1831
892	15139	1814
893	15156	1797
894	15172	1780
895	15192	1763
896	15211	1746
897	15226	1729
898	15243	1712
899	15257	1695
900	15274	1678
901	15290	1661
902	15305	1644
903	15319	1626
904	15337	1609
905	15352	1592
906	15368	1575
907	15385	1558
908	15401	1541
909	15415	1524
910	15428	1507
911	15447	1490
912	15462	1473
913	15479	1456
914	15495	1439
915	15511	1422
916	15526	1405
917	15545	1388
918	15559	1371
919	15575	1354
920	15590	1337
921	15608	1320
922	15623	1303
923	15636	1286
924	15655	1269
925	15673	1252
926	15688	1235
927	15702	1218
928	15718	1201
929	15733	1184
930	15750	1167
931	15768	1150
932	15782	1133
933	15801	1116
934	15818	1099
935	15837	1082
936	15854	1065
937	15872	1049
938	15890	1032
939	15905	1015
940	15920	998
941	15936	981
942	15950	964
943	15967	947
944	15981	930
945	15996	913
946	16011	896
947	16027	879
948	16042	862
949	16057	845
950	16074	828
951	16091	811
952	16105	794
953	16121	777
954	16134	760
955	16150	743
956	16167	726
957	16185	709
958	16199	692
959	16213	675
960	16229	658
961	16243	641
962	16260	624
963	16326	609
964	16357	593
965	16377	576
966	16407	559
967	16431	543
968	16453	526
969	16511	510
970	16532	493
971	16569	477
972	16592	460
973	16610	443
974	16637	426
975	16696	410
976	16717	393
977	16737	376
978	16756	359
979	16777	342
980	16797	325
981	16816	308
982	16836	291
983	16856	274
984	16874	256
985	16894	239
986	16912	222
987	16932	205
988	16951	188
989	16970	171
990	16987	154
991	17008	137
992	17027	120
993	17044	102
994	17064	85
995	17083	68
996	17102	51
997	17120	34
998	17135	17
999	17151	0
